3	-8
13	-8
18	1
17	11
9	20
-1	21
-8	12
-7	2
1	-7
4	-9
14	-8
18	2
16	12
8	20
-2	21
-8	11
-6	1
2	-8
5	-9
15	-7
18	3
16	13
7	20
-3	20
-8	10
-5	0
6	-9
16	-6
18	4
15	14
6	21
-4	19
-8	9
-4	-1
7	-9
16	-5
18	5
15	15
5	21
-5	18
-8	8
-4	-2
8	-9
17	-4
18	6
14	16
4	21
-6	17
-8	7
-3	-3
9	-9
17	-3
18	7
13	17
3	22
-7	16
-8	6
-2	-4
10	-9
17	-2
18	8
12	18
2	22
-7	15
-8	5
-2	-5
11	-8
18	-1
18	9
11	18
1	22
-8	14
-8	4
-1	-6
12	-8
18	0
17	10
10	19
0	22
-8	13
-7	3
0	-7
